date,rate,country
2016-01-01,0.34,US
2016-02-01,0.38,US
2016-03-01,0.36,US
2016-04-01,0.37,US
2016-05-01,0.37,US
2016-06-01,0.38,US
2016-07-01,0.39,US
2016-08-01,0.4,US
2016-09-01,0.4,US
2016-10-01,0.4,US
2016-11-01,0.41,US
2016-12-01,0.54,US
2017-01-01,0.65,US
2017-02-01,0.66,US
2017-03-01,0.79,US
2017-04-01,0.9,US
2017-05-01,0.91,US
2017-06-01,1.04,US
2017-07-01,1.15,US
2017-08-01,1.16,US
2017-09-01,1.15,US
2017-10-01,1.15,US
2017-11-01,1.16,US
2017-12-01,1.3,US
2018-01-01,1.41,US
2018-02-01,1.42,US
2018-03-01,1.51,US
2018-04-01,1.69,US
2018-05-01,1.7,US
2018-06-01,1.82,US
2018-07-01,1.91,US
2018-08-01,1.91,US
2018-09-01,1.95,US
2018-10-01,2.19,US
2018-11-01,2.2,US
2018-12-01,2.27,US
2019-01-01,2.4,US
2019-02-01,2.4,US
2019-03-01,2.41,US
2019-04-01,2.42,US
2019-05-01,2.39,US
2019-06-01,2.38,US
2019-07-01,2.4,US
2019-08-01,2.13,US
2019-09-01,2.04,US
2019-10-01,1.83,US
2019-11-01,1.55,US
2019-12-01,1.55,US
2020-01-01,1.55,US
2020-02-01,1.58,US
2020-03-01,0.65,US
2020-04-01,0.05,US
2020-05-01,0.05,US
2020-06-01,0.08,US
2020-07-01,0.09,US
2020-08-01,0.1,US
2020-09-01,0.09,US
2020-10-01,0.09,US
2020-11-01,0.09,US
2020-12-01,0.09,US
2021-01-01,0.09,US
2021-02-01,0.08,US
2021-03-01,0.07,US
2021-04-01,0.07,US
2021-05-01,0.06,US
2021-06-01,0.08,US
2021-07-01,0.1,US
2021-08-01,0.09,US
2021-09-01,0.08,US
2021-10-01,0.08,US
2021-11-01,0.08,US
2021-12-01,0.08,US
2022-01-01,0.08,US
2022-02-01,0.08,US
2022-03-01,0.2,US
2022-04-01,0.33,US
2022-05-01,0.77,US
2022-06-01,1.21,US
2022-07-01,1.68,US
2022-08-01,2.33,US
2022-09-01,2.56,US
2016-01-01,0.5,UK
2016-02-01,0.5,UK
2016-03-01,0.5,UK
2016-04-01,0.5,UK
2016-05-01,0.5,UK
2016-06-01,0.5,UK
2016-07-01,0.5,UK
2016-08-01,0.5,UK
2016-09-01,0.25,UK
2016-10-01,0.25,UK
2016-11-01,0.25,UK
2016-12-01,0.25,UK
2017-01-01,0.25,UK
2017-02-01,0.25,UK
2017-03-01,0.25,UK
2017-04-01,0.25,UK
2017-05-01,0.25,UK
2017-06-01,0.25,UK
2017-07-01,0.25,UK
2017-08-01,0.25,UK
2017-09-01,0.25,UK
2017-10-01,0.25,UK
2017-11-01,0.25,UK
2017-12-01,0.5,UK
2018-01-01,0.5,UK
2018-02-01,0.5,UK
2018-03-01,0.5,UK
2018-04-01,0.5,UK
2018-05-01,0.5,UK
2018-06-01,0.5,UK
2018-07-01,0.5,UK
2018-08-01,0.5,UK
2018-09-01,0.75,UK
2018-10-01,0.75,UK
2018-11-01,0.75,UK
2018-12-01,0.75,UK
2019-01-01,0.75,UK
2019-02-01,0.75,UK
2019-03-01,0.75,UK
2019-04-01,0.75,UK
2019-05-01,0.75,UK
2019-06-01,0.75,UK
2019-07-01,0.75,UK
2019-08-01,0.75,UK
2019-09-01,0.75,UK
2019-10-01,0.75,UK
2019-11-01,0.75,UK
2019-12-01,0.75,UK
2020-01-01,0.75,UK
2020-02-01,0.75,UK
2020-03-01,0.75,UK
2020-04-01,0.1,UK
2020-05-01,0.1,UK
2020-06-01,0.1,UK
2020-07-01,0.1,UK
2020-08-01,0.1,UK
2020-09-01,0.1,UK
2020-10-01,0.1,UK
2020-11-01,0.1,UK
2020-12-01,0.1,UK
2021-01-01,0.1,UK
2021-02-01,0.1,UK
2021-03-01,0.1,UK
2021-04-01,0.1,UK
2021-05-01,0.1,UK
2021-06-01,0.1,UK
2021-07-01,0.1,UK
2021-08-01,0.1,UK
2021-09-01,0.1,UK
2021-10-01,0.1,UK
2021-11-01,0.1,UK
2021-12-01,0.1,UK
2022-01-01,0.25,UK
2022-02-01,0.25,UK
2022-03-01,0.5,UK
2022-04-01,0.75,UK
2022-05-01,0.75,UK
2022-06-01,1.0,UK
2022-07-01,1.25,UK
2022-08-01,1.25,UK
2022-09-01,1.75,UK
2016-01-01,2.0,AU
2016-02-01,2.0,AU
2016-03-01,2.0,AU
2016-04-01,2.0,AU
2016-05-01,2.0,AU
2016-06-01,1.75,AU
2016-07-01,1.75,AU
2016-08-01,1.75,AU
2016-09-01,1.5,AU
2016-10-01,1.5,AU
2016-11-01,1.5,AU
2016-12-01,1.5,AU
2017-01-01,1.5,AU
2017-02-01,1.5,AU
2017-03-01,1.5,AU
2017-04-01,1.5,AU
2017-05-01,1.5,AU
2017-06-01,1.5,AU
2017-07-01,1.5,AU
2017-08-01,1.5,AU
2017-09-01,1.5,AU
2017-10-01,1.5,AU
2017-11-01,1.5,AU
2017-12-01,1.5,AU
2018-01-01,1.5,AU
2018-02-01,1.5,AU
2018-03-01,1.5,AU
2018-04-01,1.5,AU
2018-05-01,1.5,AU
2018-06-01,1.5,AU
2018-07-01,1.5,AU
2018-08-01,1.5,AU
2018-09-01,1.5,AU
2018-10-01,1.5,AU
2018-11-01,1.5,AU
2018-12-01,1.5,AU
2019-01-01,1.5,AU
2019-02-01,1.5,AU
2019-03-01,1.5,AU
2019-04-01,1.5,AU
2019-05-01,1.5,AU
2019-06-01,1.5,AU
2019-07-01,1.25,AU
2019-08-01,1.0,AU
2019-09-01,1.0,AU
2019-10-01,1.0,AU
2019-11-01,0.75,AU
